# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.0,3.0,-0.7596508783327637,0,3.0,-1.7154911135972628,0.0,0.0,0.0
 0.09177129808557731,1.0126318464000001,2.9998325120000002,-0.7596508783327637,0.275313894256732,3.0000000000000004,-1.7154911135972628,0.0,-31.631194393442865,0.0
 0.1329924655083324,1.0265203712000002,2.9993320960000003,-2.0635256382065843,0.39897739652499725,2.9999999999999996,-1.2932981538662567,0.0,-31.928081577572673,0.0
 0.1667091923459107,1.0416550528000001,2.9985018240000003,-3.1400360432055177,0.5001275770377321,3.000000000000001,-0.9983747804003931,0.0,-29.999983997547982,0.0
 0.19680631512098978,1.0580253696,2.997344768,-4.042949244830128,0.5904189453629695,3.0000000000000018,-0.7863905699001174,0.0,-27.484433492657235,0.0
 0.2247320137762262,1.0756208,2.995864,-4.810471252255961,0.6741960413286787,3.0,-0.6302347823174745,0.0,-24.93411987268303,0.0
 0.25120085141943366,1.0944308224,2.994062592,-5.47044842294228,0.753602554258301,2.999999999999998,-0.5127289671140399,0.0,-22.548331573666893,0.0
 0.27662098531677914,1.1144449152,2.9919436160000004,-6.043630030706636,0.8298629559503374,2.999999999999998,-0.42264526305386635,0.0,-20.39016693209542,0.0
 0.30124801936876855,1.1356525568,2.989510144,-6.545779366069097,0.9037440581063058,3.0000000000000044,-0.3524421647850546,0.0,-18.467282830818256,0.0
 0.32525256339611347,1.1580432256,2.986765248,-6.989078069846905,0.9757576901883405,2.999999999999998,-0.29693045499955234,0.0,-16.765180084778887,0.0
 0.3487539834645156,1.1816064000000002,2.983712,-7.383083609541703,1.0462619503935469,3.000000000000002,-0.25246196886981703,0.0,-15.26162359624397,0.0
 0.3718388801396183,1.2063315584,2.980353472,-7.735396613355305,1.115516640418855,3.0,-0.21642217031490077,0.0,-13.93296104535956,0.0
 0.39457192608411773,1.2322081792000001,2.976692736,-8.052135256942385,1.1837157782523533,3.0,-0.18690461955920795,0.0,-12.756800087115602,0.0
 0.41700257346435976,1.2592257408000003,2.972732864,-8.338278541396715,1.2510077203930794,3.0,-0.16249730768015241,0.0,-11.713012576058075,0.0
 0.4391693886673287,1.2873737216,2.9684769280000003,-8.597918726640247,1.3175081660019863,3.000000000000005,-0.14213948671352652,0.0,-10.78397199702685,0.0
 0.4611029551856656,1.3166416000000003,2.963928,-8.834449693768917,1.383308865556997,3.0,-0.12502391647790168,0.0,-9.954452138947167,0.0
 0.482827876547623,1.3470188544000001,2.959089152,-9.050709383688913,1.4484836296428691,2.9999999999999973,-0.11052896639025107,0.0,-9.21139129620484,0.0
 0.5043641938823324,1.3784949632000003,2.953963456,-9.249088829738161,1.5130925816469976,3.0000000000000027,-0.09817070771811427,0.0,-8.54361870861051,0.0
 0.5257284114395664,1.4110594048000002,2.948553984,-9.43161655855497,1.5771852343186994,3.0,-0.08756861910939508,0.0,-7.941587388911875,0.0
 0.5469342528136244,1.4447016576000002,2.942863808,-9.600024600982454,1.6408027584408733,2.9999999999999947,-0.07842070842655327,0.0,-7.397131694609581,0.0
 0.5679932280552904,1.4794112000000004,2.936896,-9.75580061419858,1.7039796841658714,3.0000000000000053,-0.07048524181244463,0.0,-6.903255475754453,0.0
 0.5889150653681362,1.5151775104000005,2.930653632,-9.900229402191327,1.766745196104409,3.0000000000000053,-0.06356717115429336,0.0,-6.45395075503198,0.0
 0.6097080441454322,1.5519900672000004,2.924139776,-10.03442626327042,1.829124132436297,3.0,-0.05750794460246493,0.0,-6.0440443633503715,0.0
 0.6303792550044466,1.5898383488000007,2.917357504,-10.159363978746473,1.89113776501334,3.0,-0.05217778035620312,0.0,-5.669069062460653,0.0
 0.6509348050434816,1.6287118336000006,2.910309888,-10.275894811534629,1.952804415130445,2.9999999999999947,-0.047469754323779874,0.0,-5.325155601301643,0.0
 0.671379981474055,1.6686000000000005,2.9029999999999996,-10.384768557323499,2.014139944422165,2.9999999999999947,-0.04329523632376134,0.0,-5.008942409798528,0.0
 0.6917193832565048,1.7094923264000006,2.8954309119999997,-10.486647449501541,2.0751581497695146,3.0,-0.03958033845936105,0.0,-4.71750003482646,0.0
 0.7119570278799496,1.7513782912000009,2.8876056959999996,-10.582118538717449,2.135871083639849,3.0000000000000053,-0.03626313030931727,0.0,-4.448267837161258,0.0
 0.732096438646308,1.7942473728000006,2.879527424,-10.671704031888819,2.196289315938924,2.999999999999989,-0.03329143939403141,0.0,-4.199000869068489,0.0
 0.7521407165255075,1.8380890496000006,2.8711991679999995,-10.755869972123428,2.2564221495765224,2.9999999999999947,-0.03062110228296964,0.0,-3.967725194739574,0.0
 0.7720925996995024,1.882892800000001,2.862624,-10.835033561675388,2.3162777990985073,3.000000000000011,-0.028214564881517846,0.0,-3.752700221720834,0.0
 0.7919545132073543,1.9286481024000008,2.853804992,-10.909569368900105,2.375863539622063,2.999999999999989,-0.026039755737285043,0.0,-3.552386855434157,0.0
 0.811728610574112,1.9753444352000011,2.8447452159999997,-10.97981461246385,2.435185831722336,3.0,-0.0240691734329718,0.0,-3.365420505167496,0.0
 0.8314168089048762,2.022971276800001,2.835447744,-11.046073678836008,2.4942504267146286,3.0,-0.022279143721275343,0.0,-3.190588136254829,0.0
 0.8510208186184703,2.071518105600001,2.825915648,-11.108621999651227,2.553062455855411,3.0,-0.02064921171619378,0.0,-3.026808705363206,0.0
